run_id,source_dataset,flow_type,page_url,friction_scenario,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,feedback_delay,task_completed,screenshot_count,error_message_clarity,friction_level
signup_medium_1778588613541_4dxkpy,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2333,3,0,4,1,1,0,1959,1,4,1,Medium
cta_good_1778588616871_m7kurj,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,573,1,0,0,0,0,0,436,1,3,-1,Low
cta_medium_1778588617506_p59m1c,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,3011,1,0,0,1,0,1,1943,1,3,1,Medium
cta_bad_1778588620575_i5yh9z,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,4225,2,1,0,1,0,1,3910,1,4,0,High
landing_good_1778588624864_8i10n1,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,1036,1,0,0,0,0,0,909,1,3,-1,Low
landing_medium_1778588625956_yyc0hw,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2132,1,1,1,0,0,0,1922,1,3,1,Medium
landing_bad_1778588628140_vbnucu,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,4227,2,1,0,1,0,1,3916,1,4,0,High
login_good_1778588632429_mfc22q,playwright_dummy_website,login,http://localhost:3000/login-good,good,1122,1,0,2,0,0,0,919,1,3,2,Low
login_medium_1778588633605_gqusr7,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2214,2,0,3,1,1,0,1935,1,4,1,Medium
login_bad_1778588635874_zphwnx,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,3371,3,1,3,2,1,1,2916,1,5,0,High
search_good_1778588639300_50krqb,playwright_dummy_website,search,http://localhost:3000/search-good,good,1103,1,0,1,0,0,0,912,1,3,2,Low
search_medium_1778588640457_n06lon,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,2994,1,0,1,1,0,1,1902,1,3,1,Medium
search_bad_1778588643502_jo6pl2,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,4386,3,1,1,2,1,1,3936,1,5,0,High
signup_bad_1778588647946_nxq8ld,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,4514,4,1,4,2,1,1,3959,1,5,0,High
signup_good_1778588652517_kvj4xc,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1137,1,0,3,0,0,0,925,1,3,2,Low
signup_medium_1778588653719_dh2w9o,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2307,3,0,4,1,1,0,1942,1,4,1,Medium
cta_good_1778588656965_2izuuw,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,567,1,0,0,0,0,0,420,1,3,-1,Low
cta_medium_1778588657597_jwvk4e,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2969,1,0,0,1,0,1,1915,1,3,1,Medium
cta_bad_1778588660626_iowsxe,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,4255,2,1,0,1,0,1,3944,1,4,0,High
landing_good_1778588664939_xbfda8,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,1027,1,0,0,0,0,0,896,1,3,-1,Low
landing_medium_1778588666019_66n3yc,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2133,1,1,1,0,0,0,1934,1,3,1,Medium
landing_bad_1778588668208_cth9h9,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,4224,2,1,0,1,0,1,3920,1,4,0,High
login_good_1778588672499_glragx,playwright_dummy_website,login,http://localhost:3000/login-good,good,601,1,0,2,0,0,0,404,1,3,2,Low
login_medium_1778588673155_2lq2rm,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2211,2,0,3,1,1,0,1924,1,4,1,Medium
login_bad_1778588675424_dzb2wl,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,4386,3,1,3,2,1,1,3936,1,5,0,High
search_good_1778588679867_3jg331,playwright_dummy_website,search,http://localhost:3000/search-good,good,1099,1,0,1,0,0,0,911,1,3,2,Low
search_medium_1778588681021_xzueyw,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,3012,1,0,1,1,0,1,1920,1,3,1,Medium
search_bad_1778588684087_0u704d,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,3430,3,1,1,2,1,1,2930,1,5,0,High
signup_bad_1778588687575_874zlf,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,4481,4,1,4,2,1,1,3925,1,5,0,High
signup_good_1778588692121_n8z7nd,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1114,1,0,3,0,0,0,901,1,3,2,Low
signup_medium_1778588693293_qysozb,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2315,3,0,4,1,1,0,1964,1,4,1,Medium
cta_good_1778588696658_a0yn01,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,1062,1,0,0,0,0,0,932,1,3,-1,Low
cta_medium_1778588697783_k2ef4n,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2964,1,0,0,1,0,1,1894,1,3,1,Medium
cta_bad_1778588700805_9c4b7s,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,4257,2,1,0,1,0,1,3937,1,4,0,High
landing_good_1778588705125_958a45,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,1038,1,0,0,0,0,0,912,1,3,-1,Low
landing_medium_1778588706218_7g3dwp,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2134,1,1,1,0,0,0,1933,1,3,1,Medium
landing_bad_1778588708403_78av79,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,3261,2,1,0,1,0,1,2942,1,4,0,High
login_good_1778588711722_fjiml2,playwright_dummy_website,login,http://localhost:3000/login-good,good,608,1,0,2,0,0,0,409,1,3,2,Low
login_medium_1778588712386_csepzo,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2211,2,0,3,1,1,0,1916,1,4,1,Medium
login_bad_1778588714653_1c5a0x,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,3387,3,1,3,2,1,1,2939,1,5,0,High
search_good_1778588718096_g50c82,playwright_dummy_website,search,http://localhost:3000/search-good,good,1102,1,0,1,0,0,0,915,1,3,2,Low
search_medium_1778588719250_j1re2o,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,2980,1,0,1,1,0,1,1902,1,3,1,Medium
search_bad_1778588722284_ue32w3,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,3416,3,1,1,2,1,1,2928,1,5,0,High
signup_bad_1778588725756_pwf3xb,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,3499,4,1,4,2,1,1,2938,1,5,0,High
signup_good_1778588729309_jn0twj,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1139,1,0,3,0,0,0,937,1,3,2,Low
signup_medium_1778588730503_8sed6y,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2283,3,0,4,1,1,0,1948,1,4,1,Medium
cta_good_1778588733737_054atz,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,565,1,0,0,0,0,0,433,1,3,-1,Low
cta_medium_1778588734365_ltdlmo,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2965,1,0,0,1,0,1,1917,1,3,1,Medium
cta_bad_1778588737390_n5m00e,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,3222,2,1,0,1,0,1,2932,1,4,0,High
landing_good_1778588740671_4sxunr,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,1014,1,0,0,0,0,0,882,1,3,-1,Low
landing_medium_1778588741744_zor08e,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2155,1,1,1,0,0,0,1931,1,3,1,Medium
landing_bad_1778588743952_xicie3,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,4244,2,1,0,1,0,1,3918,1,4,0,High
login_good_1778588748254_eid3wy,playwright_dummy_website,login,http://localhost:3000/login-good,good,1095,1,0,2,0,0,0,897,1,3,2,Low
login_medium_1778588749410_eqh4kd,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2220,2,0,3,1,1,0,1919,1,4,1,Medium
login_bad_1778588751692_h1cuur,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,4399,3,1,3,2,1,1,3943,1,5,0,High
search_good_1778588756155_hqooo7,playwright_dummy_website,search,http://localhost:3000/search-good,good,611,1,0,1,0,0,0,412,1,3,2,Low
search_medium_1778588756825_b1mlip,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,3004,1,0,1,1,0,1,1918,1,3,1,Medium
search_bad_1778588759886_xtng84,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,3430,3,1,1,2,1,1,2927,1,5,0,High
signup_bad_1778588763375_knzus4,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,3513,4,1,4,2,1,1,2933,1,5,0,High
signup_good_1778588766941_jtw82p,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1140,1,0,3,0,0,0,923,1,3,2,Low
signup_medium_1778588768136_iqpddp,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2300,3,0,4,1,1,0,1947,1,4,1,Medium
cta_good_1778588771408_08c6q2,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,574,1,0,0,0,0,0,432,1,3,-1,Low
cta_medium_1778588772053_c5ui8t,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2994,1,0,0,1,0,1,1929,1,3,1,Medium
cta_bad_1778588775103_hnoc9k,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,3223,2,1,0,1,0,1,2922,1,4,0,High
landing_good_1778588778386_7by16p,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,1051,1,0,0,0,0,0,919,1,3,-1,Low
landing_medium_1778588779494_5r1ut2,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2122,1,1,1,0,0,0,1918,1,3,1,Medium
landing_bad_1778588781671_8dspry,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,4207,2,1,0,1,0,1,3898,1,4,0,High
login_good_1778588785940_b8804r,playwright_dummy_website,login,http://localhost:3000/login-good,good,606,1,0,2,0,0,0,407,1,3,2,Low
login_medium_1778588786600_vxy889,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2227,2,0,3,1,1,0,1924,1,4,1,Medium
login_bad_1778588788887_ohcbhg,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,4387,3,1,3,2,1,1,3942,1,5,0,High
search_good_1778588793345_mgzed7,playwright_dummy_website,search,http://localhost:3000/search-good,good,583,1,0,1,0,0,0,401,1,3,2,Low
search_medium_1778588793984_m5h8un,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,3029,1,0,1,1,0,1,1919,1,3,1,Medium
search_bad_1778588797069_vmod0h,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,3414,3,1,1,2,1,1,2933,1,5,0,High
signup_bad_1778588800543_hx02z0,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,4509,4,1,4,2,1,1,3920,1,5,0,High
signup_good_1778588805106_jpt6i9,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,625,1,0,3,0,0,0,410,1,3,2,Low
signup_medium_1778588805784_1kdhxo,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2299,3,0,4,1,1,0,1940,1,4,1,Medium
cta_good_1778588809057_ujjax9,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,568,1,0,0,0,0,0,427,1,3,-1,Low
cta_medium_1778588809690_giknqj,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2970,1,0,0,1,0,1,1919,1,3,1,Medium
cta_bad_1778588812721_7ngnne,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,3238,2,1,0,1,0,1,2921,1,4,0,High
landing_good_1778588816016_1ccsfd,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,1064,1,0,0,0,0,0,923,1,3,-1,Low
landing_medium_1778588817148_bmsnkn,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2150,1,1,1,0,0,0,1923,1,3,1,Medium
landing_bad_1778588819354_arofwe,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,3191,2,1,0,1,0,1,2898,1,4,0,High
login_good_1778588822599_3hir3r,playwright_dummy_website,login,http://localhost:3000/login-good,good,1114,1,0,2,0,0,0,913,1,3,2,Low
login_medium_1778588823769_g6icmf,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2224,2,0,3,1,1,0,1913,1,4,1,Medium
login_bad_1778588826051_wkn0l8,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,4371,3,1,3,2,1,1,3941,1,5,0,High
search_good_1778588830477_d4mc9i,playwright_dummy_website,search,http://localhost:3000/search-good,good,1102,1,0,1,0,0,0,925,1,3,2,Low
search_medium_1778588831633_1qf4ft,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,3027,1,0,1,1,0,1,1919,1,3,1,Medium
search_bad_1778588834716_c0isu0,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,3433,3,1,1,2,1,1,2945,1,5,0,High
signup_bad_1778588838210_364xds,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,3492,4,1,4,2,1,1,2936,1,5,0,High
signup_good_1778588841757_upyw4l,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1121,1,0,3,0,0,0,921,1,3,2,Low
signup_medium_1778588842931_om6gf8,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2285,3,0,4,1,1,0,1952,1,4,1,Medium
cta_good_1778588846160_tqt1u6,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,1083,1,0,0,0,0,0,938,1,3,-1,Low
cta_medium_1778588847308_611af3,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2967,1,0,0,1,0,1,1922,1,3,1,Medium
cta_bad_1778588850332_g3t1jv,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,3225,2,1,0,1,0,1,2918,1,4,0,High
landing_good_1778588853612_drynry,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,1029,1,0,0,0,0,0,906,1,3,-1,Low
landing_medium_1778588854700_noc8lh,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2113,1,1,1,0,0,0,1905,1,3,1,Medium
landing_bad_1778588856869_2t9ulv,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,3207,2,1,0,1,0,1,2905,1,4,0,High
login_good_1778588860132_y26urd,playwright_dummy_website,login,http://localhost:3000/login-good,good,1128,1,0,2,0,0,0,911,1,3,2,Low
login_medium_1778588861313_v93ctm,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2229,2,0,3,1,1,0,1927,1,4,1,Medium
login_bad_1778588863599_ca7qhs,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,4354,3,1,3,2,1,1,3923,1,5,0,High
search_good_1778588868023_h09xer,playwright_dummy_website,search,http://localhost:3000/search-good,good,1104,1,0,1,0,0,0,926,1,3,2,Low
search_medium_1778588869179_ycx3s7,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,3011,1,0,1,1,0,1,1923,1,3,1,Medium
search_bad_1778588872245_hvchse,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,4397,3,1,1,2,1,1,3929,1,5,0,High
signup_bad_1778588876696_yk86pq,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,4540,4,1,4,2,1,1,3968,1,5,0,High
signup_good_1778588881298_s8gjft,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1128,1,0,3,0,0,0,918,1,3,2,Low
signup_medium_1778588882483_mcqfbc,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2296,3,0,4,1,1,0,1952,1,4,1,Medium
cta_good_1778588885775_39va6r,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,1078,1,0,0,0,0,0,933,1,3,-1,Low
cta_medium_1778588886921_dmvxhl,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2970,1,0,0,1,0,1,1912,1,3,1,Medium
cta_bad_1778588889954_a68bui,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,4268,2,1,0,1,0,1,3949,1,4,0,High
landing_good_1778588894292_pcv914,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,1033,1,0,0,0,0,0,914,1,3,-1,Low
landing_medium_1778588895383_ol55p5,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2145,1,1,1,0,0,0,1931,1,3,1,Medium
landing_bad_1778588897585_h7h56j,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,3239,2,1,0,1,0,1,2926,1,4,0,High
login_good_1778588900883_5a3kv7,playwright_dummy_website,login,http://localhost:3000/login-good,good,608,1,0,2,0,0,0,413,1,3,2,Low
login_medium_1778588901545_5reovo,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2262,2,0,3,1,1,0,1944,1,4,1,Medium
login_bad_1778588903863_bjsgnb,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,3422,3,1,3,2,1,1,2953,1,5,0,High
search_good_1778588907347_406qcn,playwright_dummy_website,search,http://localhost:3000/search-good,good,1144,1,0,1,0,0,0,931,1,3,2,Low
search_medium_1778588908549_yyj8ep,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,2992,1,0,1,1,0,1,1906,1,3,1,Medium
search_bad_1778588911594_ro7f0a,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,4431,3,1,1,2,1,1,3931,1,5,0,High
signup_bad_1778588916083_zbss93,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,4499,4,1,4,2,1,1,3935,1,5,0,High
signup_good_1778588920636_mr5z6f,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,622,1,0,3,0,0,0,415,1,3,2,Low
signup_medium_1778588921314_di5rel,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2330,3,0,4,1,1,0,1956,1,4,1,Medium
cta_good_1778588924593_dz8we1,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,1068,1,0,0,0,0,0,933,1,3,-1,Low
cta_medium_1778588925722_k44bbm,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2967,1,0,0,1,0,1,1910,1,3,1,Medium
cta_bad_1778588928750_hkmmpu,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,4254,2,1,0,1,0,1,3948,1,4,0,High
landing_good_1778588933067_b6nzqf,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,1037,1,0,0,0,0,0,907,1,3,-1,Low
landing_medium_1778588934159_df19og,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2116,1,1,1,0,0,0,1919,1,3,1,Medium
landing_bad_1778588936330_3v4fda,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,3241,2,1,0,1,0,1,2916,1,4,0,High
login_good_1778588939628_z2mhet,playwright_dummy_website,login,http://localhost:3000/login-good,good,1145,1,0,2,0,0,0,940,1,3,2,Low
login_medium_1778588940826_43o8ni,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2197,2,0,3,1,1,0,1920,1,4,1,Medium
login_bad_1778588943078_4qm1cc,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,4387,3,1,3,2,1,1,3932,1,5,0,High
search_good_1778588947524_fvuoe8,playwright_dummy_website,search,http://localhost:3000/search-good,good,1116,1,0,1,0,0,0,934,1,3,2,Low
search_medium_1778588948692_so5nx6,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,3012,1,0,1,1,0,1,1906,1,3,1,Medium
search_bad_1778588951756_8yf5e8,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,3385,3,1,1,2,1,1,2924,1,5,0,High
signup_bad_1778588955201_825j6d,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,3480,4,1,4,2,1,1,2924,1,5,0,High
signup_good_1778588958740_v27f5u,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1134,1,0,3,0,0,0,916,1,3,2,Low
signup_medium_1778588959929_k8o48h,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2282,3,0,4,1,1,0,1951,1,4,1,Medium
cta_good_1778588963152_4llmos,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,1088,1,0,0,0,0,0,937,1,3,-1,Low
cta_medium_1778588964320_10jtey,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2984,1,0,0,1,0,1,1924,1,3,1,Medium
cta_bad_1778588967361_g394kv,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,3243,2,1,0,1,0,1,2927,1,4,0,High
landing_good_1778588970659_7d2v1q,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,1049,1,0,0,0,0,0,915,1,3,-1,Low
landing_medium_1778588971764_wgg9gi,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2127,1,1,1,0,0,0,1932,1,3,1,Medium
landing_bad_1778588973949_dkj9uf,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,3221,2,1,0,1,0,1,2917,1,4,0,High
login_good_1778588977227_7uvuxl,playwright_dummy_website,login,http://localhost:3000/login-good,good,627,1,0,2,0,0,0,416,1,3,2,Low
login_medium_1778588977908_w9n3fo,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2198,2,0,3,1,1,0,1894,1,4,1,Medium
login_bad_1778588980165_wuoj06,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,3365,3,1,3,2,1,1,2924,1,5,0,High
search_good_1778588983597_z0b8it,playwright_dummy_website,search,http://localhost:3000/search-good,good,608,1,0,1,0,0,0,418,1,3,2,Low
search_medium_1778588984258_nkx6ny,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,3030,1,0,1,1,0,1,1923,1,3,1,Medium
search_bad_1778588987342_nvo9sw,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,4424,3,1,1,2,1,1,3925,1,5,0,High
signup_bad_1778588991839_64zc40,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,3524,4,1,4,2,1,1,2948,1,5,0,High
signup_good_1778588995421_ebfc1t,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1118,1,0,3,0,0,0,918,1,3,2,Low
signup_medium_1778588996597_w1fqv8,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2298,3,0,4,1,1,0,1953,1,4,1,Medium
cta_good_1778588999852_l0iu1l,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,568,1,0,0,0,0,0,429,1,3,-1,Low
cta_medium_1778589000483_lh3dsf,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2986,1,0,0,1,0,1,1926,1,3,1,Medium
cta_bad_1778589003526_dfr1ru,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,3225,2,1,0,1,0,1,2923,1,4,0,High
landing_good_1778589006809_3g3000,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,529,1,0,0,0,0,0,414,1,3,-1,Low
landing_medium_1778589007395_pcqqyi,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2127,1,1,1,0,0,0,1918,1,3,1,Medium
landing_bad_1778589009583_d5uh81,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,3254,2,1,0,1,0,1,2933,1,4,0,High
login_good_1778589012895_2pf1rx,playwright_dummy_website,login,http://localhost:3000/login-good,good,608,1,0,2,0,0,0,419,1,3,2,Low
login_medium_1778589013559_i67bgs,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2210,2,0,3,1,1,0,1925,1,4,1,Medium
login_bad_1778589015825_qa5unx,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,4387,3,1,3,2,1,1,3937,1,5,0,High
search_good_1778589020269_4qqcc9,playwright_dummy_website,search,http://localhost:3000/search-good,good,585,1,0,1,0,0,0,407,1,3,2,Low
search_medium_1778589020906_77dkr4,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,2981,1,0,1,1,0,1,1901,1,3,1,Medium
search_bad_1778589023945_h4xa9d,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,3429,3,1,1,2,1,1,2949,1,5,0,High
signup_bad_1778589027430_7jqksh,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,3497,4,1,4,2,1,1,2936,1,5,0,High
signup_good_1778589030984_9iqh06,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,603,1,0,3,0,0,0,402,1,3,2,Low
signup_medium_1778589031644_0irp5t,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2281,3,0,4,1,1,0,1950,1,4,1,Medium
cta_good_1778589034893_tp524m,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,1049,1,0,0,0,0,0,917,1,3,-1,Low
cta_medium_1778589036011_r9dap8,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2974,1,0,0,1,0,1,1912,1,3,1,Medium
cta_bad_1778589039050_7a2xys,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,4253,2,1,0,1,0,1,3932,1,4,0,High
landing_good_1778589043369_f9w3pa,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,535,1,0,0,0,0,0,414,1,3,-1,Low
landing_medium_1778589043967_fukmnp,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2155,1,1,1,0,0,0,1952,1,3,1,Medium
landing_bad_1778589046176_awlfbx,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,3227,2,1,0,1,0,1,2917,1,4,0,High
login_good_1778589049462_huql9y,playwright_dummy_website,login,http://localhost:3000/login-good,good,608,1,0,2,0,0,0,405,1,3,2,Low
