completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,task_completed,friction_level
1.578,1,0,0,0,0,0,1,Low
1.46,1,0,0,0,0,0,1,Low
1.377,1,0,0,0,0,0,1,Low
1.502,1,0,0,0,0,0,1,Low
1.606,1,0,0,0,0,0,1,Low
1.533,1,0,0,0,0,0,1,Low
1.28,1,0,0,0,0,0,1,Low
1.384,1,0,0,0,0,0,1,Low
1.253,1,0,0,0,0,0,1,Low
1.326,1,0,0,0,0,0,1,Low
1.423,1,0,0,0,0,0,1,Low
1.424,1,0,0,0,0,0,1,Low
1.52,1,0,0,0,0,0,1,Low
1.342,1,0,0,0,0,0,1,Low
1.38,1,0,0,0,0,0,1,Low
1.379,1,0,0,0,0,0,1,Low
1.323,1,0,0,0,0,0,1,Low
1.335,1,0,0,0,0,0,1,Low
1.522,1,0,0,0,0,0,1,Low
4.183,1,0,0,0,0,0,1,Low
3.359,1,0,0,0,0,0,1,Low
4.19,1,0,0,0,0,0,1,Low
4.358,1,0,0,0,0,0,1,Low
4.996,1,0,0,0,0,0,1,Low
4.993,1,0,0,0,0,0,1,Low
4.332,1,0,0,0,0,0,1,Low
3.786,1,0,0,0,0,0,1,Low
4.761,1,0,0,0,0,0,1,Low
3.994,1,0,0,0,0,0,1,Low
4.148,1,0,0,0,0,0,1,Low
4.582,1,0,0,0,0,0,1,Low
4.248,1,0,0,0,0,0,1,Low
3.798,1,0,0,0,0,0,1,Low
3.738,1,0,0,0,0,0,1,Low
3.48,1,0,0,0,0,0,1,Low
4.893,1,0,0,0,0,0,1,Low
3.279,1,0,0,0,0,0,1,Low
5.012,1,0,0,0,0,0,1,Low
4.18,1,0,0,0,0,0,1,Low
4.3,1,0,0,0,0,0,1,Low
3.7,1,0,0,0,0,0,1,Low
3.409,1,0,0,0,0,0,1,Low
4.399,1,0,0,0,0,0,1,Low
4.217,1,0,0,0,0,0,1,Low
3.874,1,0,0,0,0,0,1,Low
4.418,1,0,0,0,0,0,1,Low
3.587,1,0,0,0,0,0,1,Low
3.945,1,0,0,0,0,0,1,Low
4.239,1,0,0,0,0,0,1,Low
3.39,1,0,0,0,0,0,1,Low
4.192,1,0,0,0,0,0,1,Low
4.013,1,0,0,0,0,0,1,Low
4.07,1,0,0,0,0,0,1,Low
4.128,1,0,0,0,0,0,1,Low
4.54,1,0,0,0,0,0,1,Low
4.174,1,0,0,0,0,0,1,Low
5.02,1,0,0,0,0,0,1,Low
3.863,1,0,0,0,0,0,1,Low
4.116,1,0,0,0,0,0,1,Low
4.285,1,0,0,0,0,0,1,Low
4.161,1,0,0,0,0,0,1,Low
3.906,1,0,0,0,0,0,1,Low
3.623,1,0,0,0,0,0,1,Low
3.608,1,0,0,0,0,0,1,Low
3.923,1,0,0,0,0,0,1,Low
3.939,1,0,0,0,0,0,1,Low
3.961,1,0,0,0,0,0,1,Low
4.246,1,0,0,0,0,0,1,Low
3.377,1,0,0,0,0,0,1,Low
4.453,1,0,0,0,0,0,1,Low
4.445,1,0,0,0,0,0,1,Low
3.142,1,0,0,0,0,0,1,Low
3.815,1,0,0,0,0,0,1,Low
4.07,1,0,0,0,0,0,1,Low
3.657,1,0,0,0,0,0,1,Low
3.752,1,0,0,0,0,0,1,Low
4.021,1,0,0,0,0,0,1,Low
4.479,1,0,0,0,0,0,1,Low
4.19,1,0,0,0,0,0,1,Low
3.629,1,0,0,0,0,0,1,Low
3.558,1,0,0,0,0,0,1,Low
4.666,1,0,0,0,0,0,1,Low
4.509,1,0,0,0,0,0,1,Low
3.612,1,0,0,0,0,0,1,Low
4.518,1,0,0,0,0,0,1,Low
4.56,1,0,0,0,0,0,1,Low
4.074,1,0,0,0,0,0,1,Low
4.395,1,0,0,0,0,0,1,Low
3.892,1,0,0,0,0,0,1,Low
4.483,1,0,0,0,0,0,1,Low
3.928,1,0,0,0,0,0,1,Low
4.762,1,0,0,0,0,0,1,Low
4.7,1,0,0,0,0,0,1,Low
4.705,1,0,0,0,0,0,1,Low
4.162,1,0,0,0,0,0,1,Low
3.983,1,0,0,0,0,0,1,Low
3.083,1,0,0,0,0,0,1,Low
3.953,1,0,0,0,0,0,1,Low
3.866,1,0,0,0,0,0,1,Low
4.064,1,0,0,0,0,0,1,Low
4.466,1,0,0,0,0,0,1,Low
5.167,1,0,0,0,0,0,1,Low
4.057,1,0,0,0,0,0,1,Low
4.7,1,0,0,0,0,0,1,Low
4.2,1,0,0,0,0,0,1,Low
3.956,1,0,0,0,0,0,1,Low
3.948,1,0,0,0,0,0,1,Low
4.134,1,0,0,0,0,0,1,Low
3.324,1,0,0,0,0,0,1,Low
3.877,1,0,0,0,0,0,1,Low
4.126,1,0,0,0,0,0,1,Low
3.692,1,0,0,0,0,0,1,Low
3.389,1,0,0,0,0,0,1,Low
3.747,1,0,0,0,0,0,1,Low
3.15,1,0,0,0,0,0,1,Low
3.552,1,0,0,0,0,0,1,Low
4.029,1,0,0,0,0,0,1,Low
3.46,1,0,0,0,0,0,1,Low
4.286,1,0,0,0,0,0,1,Low
4.43,1,0,0,0,0,0,1,Low
4.721,1,0,0,0,0,0,1,Low
3.303,1,0,0,0,0,0,1,Low
4.14,1,0,0,0,0,0,1,Low
4.189,1,0,0,0,0,0,1,Low
1.117,1,0,0,0,0,0,1,Low
0.969,1,0,0,0,0,0,1,Low
0.961,1,0,0,0,0,0,1,Low
0.978,1,0,0,0,0,0,1,Low
1.01,1,0,0,0,0,0,1,Low
1.019,1,0,0,0,0,0,1,Low
1.077,1,0,0,0,0,0,1,Low
1.065,1,0,0,0,0,0,1,Low
1.011,1,0,0,0,0,0,1,Low
0.964,1,0,0,0,0,0,1,Low
0.98,1,0,0,0,0,0,1,Low
0.899,1,0,0,0,0,0,1,Low
1.043,1,0,0,0,0,0,1,Low
1.079,1,0,0,0,0,0,1,Low
0.99,1,0,0,0,0,0,1,Low
0.95,1,0,0,0,0,0,1,Low
1.014,1,0,0,0,0,0,1,Low
1.031,1,0,0,0,0,0,1,Low
1.069,1,0,0,0,0,0,1,Low
0.94,1,0,0,0,0,0,1,Low
0.946,1,0,0,0,0,0,1,Low
0.98,1,0,0,0,0,0,1,Low
0.996,1,0,0,0,0,0,1,Low
0.917,1,0,0,0,0,0,1,Low
0.986,1,0,0,0,0,0,1,Low
1.132,1,0,0,0,0,0,1,Low
0.962,1,0,0,0,0,0,1,Low
0.99,1,0,0,0,0,0,1,Low
1.037,1,0,0,0,0,0,1,Low
0.934,1,0,0,0,0,0,1,Low
0.926,1,0,0,0,0,0,1,Low
0.94,1,0,0,0,0,0,1,Low
1.072,1,0,0,0,0,0,1,Low
1.02,1,0,0,0,0,0,1,Low
1.166,1,0,0,0,0,0,1,Low
0.958,1,0,0,0,0,0,1,Low
1.009,1,0,0,0,0,0,1,Low
1.013,1,0,0,0,0,0,1,Low
0.951,1,0,0,0,0,0,1,Low
1.025,1,0,0,0,0,0,1,Low
0.956,1,0,0,0,0,0,1,Low
1.08,1,0,0,0,0,0,1,Low
1.051,1,0,0,0,0,0,1,Low
0.991,1,0,0,0,0,0,1,Low
1.117,1,0,0,0,0,0,1,Low
0.963,1,0,0,0,0,0,1,Low
0.901,1,0,0,0,0,0,1,Low
1.06,1,0,0,0,0,0,1,Low
1.058,1,0,0,0,0,0,1,Low
0.943,1,0,0,0,0,0,1,Low
1.048,1,0,0,0,0,0,1,Low
0.98,1,0,0,0,0,0,1,Low
1.051,1,0,0,0,0,0,1,Low
0.892,1,0,0,0,0,0,1,Low
0.946,1,0,0,0,0,0,1,Low
0.91,1,0,0,0,0,0,1,Low
1.017,1,0,0,0,0,0,1,Low
0.96,1,0,0,0,0,0,1,Low
0.966,1,0,0,0,0,0,1,Low
0.927,1,0,0,0,0,0,1,Low
1.012,1,0,0,0,0,0,1,Low
0.935,1,0,0,0,0,0,1,Low
1.025,1,0,0,0,0,0,1,Low
1.009,1,0,0,0,0,0,1,Low
0.914,1,0,0,0,0,0,1,Low
0.982,1,0,0,0,0,0,1,Low
1.001,1,0,0,0,0,0,1,Low
0.946,1,0,0,0,0,0,1,Low
1.045,1,0,0,0,0,0,1,Low
0.96,1,0,0,0,0,0,1,Low
0.997,1,0,0,0,0,0,1,Low
0.956,1,0,0,0,0,0,1,Low
0.987,1,0,0,0,0,0,1,Low
0.94,1,0,0,0,0,0,1,Low
1.005,1,0,0,0,0,0,1,Low
0.967,1,0,0,0,0,0,1,Low
0.983,1,0,0,0,0,0,1,Low
1.065,1,0,0,0,0,0,1,Low
0.962,1,0,0,0,0,0,1,Low
0.941,1,0,0,0,0,0,1,Low
0.982,1,0,0,0,0,0,1,Low
0.941,1,0,0,0,0,0,1,Low
0.963,1,0,0,0,0,0,1,Low
0.927,1,0,0,0,0,0,1,Low
1.03,1,0,0,0,0,0,1,Low
1.083,1,0,0,0,0,0,1,Low
1.068,1,0,0,0,0,0,1,Low
0.888,1,0,0,0,0,0,1,Low
1.016,1,0,0,0,0,0,1,Low
1.065,1,0,0,0,0,0,1,Low
1.037,1,0,0,0,0,0,1,Low
0.907,1,0,0,0,0,0,1,Low
0.901,1,0,0,0,0,0,1,Low
1.077,1,0,0,0,0,0,1,Low
0.971,1,0,0,0,0,0,1,Low
0.954,1,0,0,0,0,0,1,Low
1.032,1,0,0,0,0,0,1,Low
0.938,1,0,0,0,0,0,1,Low
0.985,1,0,0,0,0,0,1,Low
0.934,1,0,0,0,0,0,1,Low
0.922,1,0,0,0,0,0,1,Low
1.11,1,0,0,0,0,0,1,Low
1.032,1,0,0,0,0,0,1,Low
0.968,1,0,0,0,0,0,1,Low
0.926,1,0,0,0,0,0,1,Low
1.499,1,0,0,0,0,0,1,Low
1.541,1,0,0,0,0,0,1,Low
1.543,1,0,0,0,0,0,1,Low
1.481,1,0,0,0,0,0,1,Low
1.547,1,0,0,0,0,0,1,Low
1.532,1,0,0,0,0,0,1,Low
1.555,1,0,0,0,0,0,1,Low
1.572,1,0,0,0,0,0,1,Low
1.388,1,0,0,0,0,0,1,Low
1.428,1,0,0,0,0,0,1,Low
1.442,1,0,0,0,0,0,1,Low
1.327,1,0,0,0,0,0,1,Low
1.493,1,0,0,0,0,0,1,Low
1.5,1,0,0,0,0,0,1,Low
1.467,1,0,0,0,0,0,1,Low
1.341,1,0,0,0,0,0,1,Low
1.276,1,0,0,0,0,0,1,Low
1.536,1,0,0,0,0,0,1,Low
1.335,1,0,0,0,0,0,1,Low
1.34,1,0,0,0,0,0,1,Low
1.551,1,0,0,0,0,0,1,Low
1.301,1,0,0,0,0,0,1,Low
1.609,1,0,0,0,0,0,1,Low
1.56,1,0,0,0,0,0,1,Low
1.4,1,0,0,0,0,0,1,Low
1.414,1,0,0,0,0,0,1,Low
1.376,1,0,0,0,0,0,1,Low
1.451,1,0,0,0,0,0,1,Low
1.386,1,0,0,0,0,0,1,Low
1.484,1,0,0,0,0,0,1,Low
1.212,1,0,0,0,0,0,1,Low
1.34,1,0,0,0,0,0,1,Low
1.587,1,0,0,0,0,0,1,Low
1.317,1,0,0,0,0,0,1,Low
1.397,1,0,0,0,0,0,1,Low
1.285,1,0,0,0,0,0,1,Low
1.281,1,0,0,0,0,0,1,Low
1.562,1,0,0,0,0,0,1,Low
1.476,1,0,0,0,0,0,1,Low
1.308,1,0,0,0,0,0,1,Low
1.253,1,0,0,0,0,0,1,Low
1.443,1,0,0,0,0,0,1,Low
1.514,1,0,0,0,0,0,1,Low
1.49,1,0,0,0,0,0,1,Low
1.303,1,0,0,0,0,0,1,Low
1.367,1,0,0,0,0,0,1,Low
1.376,1,0,0,0,0,0,1,Low
1.5,1,0,0,0,0,0,1,Low
1.536,1,0,0,0,0,0,1,Low
1.439,1,0,0,0,0,0,1,Low
1.469,1,0,0,0,0,0,1,Low
1.462,1,0,0,0,0,0,1,Low
1.219,1,0,0,0,0,0,1,Low
1.48,1,0,0,0,0,0,1,Low
1.387,1,0,0,0,0,0,1,Low
1.424,1,0,0,0,0,0,1,Low
1.397,1,0,0,0,0,0,1,Low
1.294,1,0,0,0,0,0,1,Low
1.434,1,0,0,0,0,0,1,Low
1.334,1,0,0,0,0,0,1,Low
1.255,1,0,0,0,0,0,1,Low
1.468,1,0,0,0,0,0,1,Low
1.649,1,0,0,0,0,0,1,Low
1.332,1,0,0,0,0,0,1,Low
1.266,1,0,0,0,0,0,1,Low
1.3,1,0,0,0,0,0,1,Low
1.328,1,0,0,0,0,0,1,Low
1.52,1,0,0,0,0,0,1,Low
1.328,1,0,0,0,0,0,1,Low
1.251,1,0,0,0,0,0,1,Low
1.315,1,0,0,0,0,0,1,Low
1.593,1,0,0,0,0,0,1,Low
1.268,1,0,0,0,0,0,1,Low
1.352,1,0,0,0,0,0,1,Low
1.475,1,0,0,0,0,0,1,Low
1.395,1,0,0,0,0,0,1,Low
1.51,1,0,0,0,0,0,1,Low
1.446,1,0,0,0,0,0,1,Low
1.513,1,0,0,0,0,0,1,Low
1.555,1,0,0,0,0,0,1,Low
1.477,1,0,0,0,0,0,1,Low
1.298,1,0,0,0,0,0,1,Low
1.361,1,0,0,0,0,0,1,Low
1.352,1,0,0,0,0,0,1,Low
1.339,1,0,0,0,0,0,1,Low
1.375,1,0,0,0,0,0,1,Low
1.529,1,0,0,0,0,0,1,Low
1.26,1,0,0,0,0,0,1,Low
1.451,1,0,0,0,0,0,1,Low
1.403,1,0,0,0,0,0,1,Low
1.239,1,0,0,0,0,0,1,Low
1.429,1,0,0,0,0,0,1,Low
1.4,1,0,0,0,0,0,1,Low
1.401,1,0,0,0,0,0,1,Low
1.464,1,0,0,0,0,0,1,Low
1.378,1,0,0,0,0,0,1,Low
1.286,1,0,0,0,0,0,1,Low
1.554,1,0,0,0,0,0,1,Low
1.323,1,0,0,0,0,0,1,Low
1.48,1,0,0,0,0,0,1,Low
1.488,1,0,0,0,0,0,1,Low
1.509,1,0,0,0,0,0,1,Low
1.448,1,0,0,0,0,0,1,Low
1.527,1,0,0,0,0,0,1,Low
1.559,1,0,0,0,0,0,1,Low
3.992,1,0,0,0,0,0,1,Low
3.737,1,0,0,0,0,0,1,Low
4.497,1,0,0,0,0,0,1,Low
4.225,1,0,0,0,0,0,1,Low
3.803,1,0,0,0,0,0,1,Low
4.23,1,0,0,0,0,0,1,Low
3.597,1,0,0,0,0,0,1,Low
3.963,1,0,0,0,0,0,1,Low
3.97,1,0,0,0,0,0,1,Low
4.607,1,0,0,0,0,0,1,Low
3.549,1,0,0,0,0,0,1,Low
3.79,1,0,0,0,0,0,1,Low
4.966,1,0,0,0,0,0,1,Low
3.892,1,0,0,0,0,0,1,Low
4.355,1,0,0,0,0,0,1,Low
4.569,1,0,0,0,0,0,1,Low
4.452,1,0,0,0,0,0,1,Low
4.909,1,0,0,0,0,0,1,Low
4.211,1,0,0,0,0,0,1,Low
4.487,1,0,0,0,0,0,1,Low
4.281,1,0,0,0,0,0,1,Low
3.621,1,0,0,0,0,0,1,Low
4.717,1,0,0,0,0,0,1,Low
4.257,1,0,0,0,0,0,1,Low
4.5,1,0,0,0,0,0,1,Low
3.625,1,0,0,0,0,0,1,Low
3.887,1,0,0,0,0,0,1,Low
4.167,1,0,0,0,0,0,1,Low
4.074,1,0,0,0,0,0,1,Low
4.074,1,0,0,0,0,0,1,Low
4.695,1,0,0,0,0,0,1,Low
4.931,1,0,0,0,0,0,1,Low
3.818,1,0,0,0,0,0,1,Low
4.77,1,0,0,0,0,0,1,Low
3.574,1,0,0,0,0,0,1,Low
4.325,1,0,0,0,0,0,1,Low
4.058,1,0,0,0,0,0,1,Low
4.204,1,0,0,0,0,0,1,Low
4.067,1,0,0,0,0,0,1,Low
3.873,1,0,0,0,0,0,1,Low
3.695,1,0,0,0,0,0,1,Low
4.398,1,0,0,0,0,0,1,Low
4.711,1,0,0,0,0,0,1,Low
4.158,1,0,0,0,0,0,1,Low
4.32,1,0,0,0,0,0,1,Low
4.512,1,0,0,0,0,0,1,Low
4.295,1,0,0,0,0,0,1,Low
4.693,1,0,0,0,0,0,1,Low
4.63,1,0,0,0,0,0,1,Low
4.417,1,0,0,0,0,0,1,Low
3.997,1,0,0,0,0,0,1,Low
4.15,1,0,0,0,0,0,1,Low
4.224,1,0,0,0,0,0,1,Low
4.746,1,0,0,0,0,0,1,Low
4.965,1,0,0,0,0,0,1,Low
4.587,1,0,0,0,0,0,1,Low
3.287,1,0,0,0,0,0,1,Low
3.869,1,0,0,0,0,0,1,Low
3.767,1,0,0,0,0,0,1,Low
4.718,1,0,0,0,0,0,1,Low
3.865,1,0,0,0,0,0,1,Low
3.079,1,0,0,0,0,0,1,Low
4.029,1,0,0,0,0,0,1,Low
3.449,1,0,0,0,0,0,1,Low
4.117,1,0,0,0,0,0,1,Low
5.049,1,0,0,0,0,0,1,Low
4.314,1,0,0,0,0,0,1,Low
3.581,1,0,0,0,0,0,1,Low
3.629,1,0,0,0,0,0,1,Low
4.412,1,0,0,0,0,0,1,Low
3.451,1,0,0,0,0,0,1,Low
4.291,1,0,0,0,0,0,1,Low
3.159,1,0,0,0,0,0,1,Low
4.589,1,0,0,0,0,0,1,Low
4.009,1,0,0,0,0,0,1,Low
4.015,1,0,0,0,0,0,1,Low
3.258,1,0,0,0,0,0,1,Low
4.801,1,0,0,0,0,0,1,Low
3.713,1,0,0,0,0,0,1,Low
4.619,1,0,0,0,0,0,1,Low
4.057,1,0,0,0,0,0,1,Low
3.064,1,0,0,0,0,0,1,Low
3.474,1,0,0,0,0,0,1,Low
4.104,1,0,0,0,0,0,1,Low
3.765,1,0,0,0,0,0,1,Low
3.769,1,0,0,0,0,0,1,Low
3.83,1,0,0,0,0,0,1,Low
4.718,1,0,0,0,0,0,1,Low
3.587,1,0,0,0,0,0,1,Low
4.147,1,0,0,0,0,0,1,Low
3.755,1,0,0,0,0,0,1,Low
4.199,1,0,0,0,0,0,1,Low
3.25,1,0,0,0,0,0,1,Low
3.907,1,0,0,0,0,0,1,Low
3.593,1,0,0,0,0,0,1,Low
4.083,1,0,0,0,0,0,1,Low
3.893,1,0,0,0,0,0,1,Low
4.114,1,0,0,0,0,0,1,Low
4.427,1,0,0,0,0,0,1,Low
4.268,1,0,0,0,0,0,1,Low
3.685,1,0,0,0,0,0,1,Low
3.267,1,0,0,0,0,0,1,Low
3.33,1,0,0,0,0,0,1,Low
3.844,1,0,0,0,0,0,1,Low
5.045,1,0,0,0,0,0,1,Low
0.952,1,0,0,0,0,0,1,Low
1.019,1,0,0,0,0,0,1,Low
0.962,1,0,0,0,0,0,1,Low
1.115,1,0,0,0,0,0,1,Low
1.114,1,0,0,0,0,0,1,Low
0.913,1,0,0,0,0,0,1,Low
0.962,1,0,0,0,0,0,1,Low
0.947,1,0,0,0,0,0,1,Low
1.101,1,0,0,0,0,0,1,Low
1.063,1,0,0,0,0,0,1,Low
0.96,1,0,0,0,0,0,1,Low
1.002,1,0,0,0,0,0,1,Low
1.087,1,0,0,0,0,0,1,Low
1.055,1,0,0,0,0,0,1,Low
0.953,1,0,0,0,0,0,1,Low
1.079,1,0,0,0,0,0,1,Low
0.946,1,0,0,0,0,0,1,Low
1.008,1,0,0,0,0,0,1,Low
0.96,1,0,0,0,0,0,1,Low
0.983,1,0,0,0,0,0,1,Low
0.943,1,0,0,0,0,0,1,Low
1.102,1,0,0,0,0,0,1,Low
1.103,1,0,0,0,0,0,1,Low
1.091,1,0,0,0,0,0,1,Low
1.043,1,0,0,0,0,0,1,Low
0.954,1,0,0,0,0,0,1,Low
0.983,1,0,0,0,0,0,1,Low
1.03,1,0,0,0,0,0,1,Low
1.031,1,0,0,0,0,0,1,Low
1.004,1,0,0,0,0,0,1,Low
1.065,1,0,0,0,0,0,1,Low
1.025,1,0,0,0,0,0,1,Low
